CTUID,total_destinations_within_30_mins_before,total_destinations_within_30_mins_after,total_destinations_within_30_mins_diff
5350260.07,0,2,2
5350183.01,1,4,3
5350183.02,1,4,3
5350028.01,1,2,1
5350028.02,1,3,2
5350063.03,5,8,3
5350063.04,5,7,2
5350065.01,5,6,1
5350050.01,0,3,3
5350097.01,5,7,2
5350065.02,3,4,1
5350128.02,4,7,3
5350156.01,2,4,2
5350156.02,1,4,3
5350169.01,1,4,3
5350169.02,0,1,1
5350175.01,1,4,3
5350175.02,1,4,3
5350184.01,3,6,3
5350184.02,2,5,3
5350185.01,2,5,3
5350185.02,3,4,1
5350190.01,1,3,2
5350190.02,0,2,2
5350221.01,0,3,3
5350221.02,0,3,3
5350222.01,0,1,1
5350222.02,0,2,2
5350230.01,0,3,3
5350230.02,0,1,1
5350235.01,0,1,1
5350235.02,0,3,3
5350236.01,0,1,1
5350236.02,0,3,3
5350238.01,0,3,3
5350238.02,0,3,3
5350240.01,0,3,3
5350240.02,0,1,1
5350243.01,0,3,3
5350243.02,0,1,1
5350063.05,5,8,3
5350248.02,1,3,2
5350250.01,0,1,1
5350250.02,0,2,2
5350262.01,0,1,1
5350262.02,0,3,3
5350270.01,0,3,3
5350270.02,0,3,3
5350273.01,1,3,2
5350273.02,0,1,1
5350276.01,1,4,3
5350276.02,1,2,1
5350279.01,0,1,1
5350279.02,0,3,3
5350283.01,0,3,3
5350283.02,0,3,3
5350287.02,1,4,3
5350294.01,1,3,2
5350294.02,0,3,3
5350297.01,1,3,2
5350297.02,0,2,2
5350302.01,0,2,2
5350302.02,0,1,1
5350304.05,1,4,3
5350304.06,0,2,2
5350308.02,2,5,3
5350312.04,1,4,3
5350063.06,5,8,3
5350317.02,1,3,2
5350320.01,1,2,1
5350320.02,1,2,1
5350323.01,1,4,3
5350323.02,0,2,2
5350128.05,2,4,2
5350331.01,0,3,3
5350128.06,4,5,1
5350196.01,5,8,3
5350341.02,1,4,3
5350346.01,0,1,1
5350346.02,0,3,3
5350196.02,2,4,2
5350353.02,1,4,3
5350195.01,4,6,2
5350355.02,0,2,2
5350357.01,1,2,1
5350357.02,0,2,2
5350358.01,0,2,2
5350358.02,0,3,3
5350358.03,2,3,1
5350195.02,4,5,1
5350363.02,1,2,1
5350139.01,1,4,3
5350364.01,1,2,1
5350364.02,1,2,1
5350367.01,2,3,1
5350367.02,1,3,2
5350370.01,1,2,1
5350370.02,1,4,3
5350370.03,0,1,1
5350374.01,0,3,3
5350374.02,1,3,2
5350374.03,1,2,1
5350375.04,1,3,2
5350375.05,0,3,3
5350139.02,0,3,3
5350377.02,0,3,3
5350377.03,0,2,2
5350287.03,1,4,3
5350378.02,0,3,3
5350378.03,1,3,2
5350287.04,1,4,3
5350308.03,2,5,3
5350291.03,1,3,2
5350291.04,1,4,3
5350290.01,1,4,3
5350290.02,1,3,2
5350096.01,0,1,1
5350096.02,5,6,1
5350097.03,0,3,3
5350097.04,0,1,1
5350008.01,2,5,3
5350008.02,1,3,2
5350047.03,1,3,2
5350047.04,3,4,1
5350102.04,1,4,3
5350102.05,1,4,3
5350050.03,1,3,2
5350050.04,2,5,3
5350210.01,0,1,1
5350200.01,0,2,2
5350200.02,0,3,3
5350213.01,0,3,3
5350213.02,1,2,1
5350223.01,0,2,2
5350223.02,0,3,3
5350007.01,3,4,1
5350007.02,3,5,2
5350091.01,5,6,1
5350091.02,5,6,1
5350141.01,2,5,3
5350141.02,0,1,1
5350181.01,1,3,2
5350181.02,1,3,2
5350206.01,0,2,2
5350206.02,0,1,1
5350244.01,0,2,2
5350244.02,2,5,3
5350263.02,2,3,1
5350271.01,0,2,2
5350271.02,0,1,1
5350272.01,0,3,3
5350272.02,0,1,1
5350274.01,0,3,3
5350274.02,0,1,1
5350291.02,1,3,2
5350302.03,1,2,1
5350310.01,1,2,1
5350310.02,2,4,2
5350312.05,1,2,1
5350314.01,1,4,3
5350314.02,0,3,3
5350315.03,0,3,3
5350316.03,1,2,1
5350316.04,1,3,2
5350317.03,0,3,3
5350361.01,0,1,1
5350361.02,0,2,2
5350362.01,0,3,3
5350362.02,1,3,2
5350362.03,1,3,2
5350376.05,1,3,2
5350376.06,1,4,3
5350376.04,1,3,2
5350377.04,1,4,3
5350378.06,0,2,2
5350378.08,0,1,1
5350378.07,0,3,3
5350378.04,0,3,3
5350378.05,0,3,3
5350362.04,0,1,1
5350376.08,1,4,3
5350376.09,0,3,3
5350249.03,1,2,1
5350248.03,0,3,3
5350167.01,5,8,3
5350167.02,1,4,3
5350378.11,0,2,2
5350378.12,1,4,3
5350378.14,0,1,1
5350062.01,5,6,1
5350377.06,0,1,1
5350377.07,0,3,3
5350047.02,3,5,2
5350102.02,1,2,1
5350102.03,1,2,1
5350136.01,0,2,2
5350136.02,5,6,1
5350249.04,0,3,3
5350249.05,1,2,1
5350080.01,1,3,2
5350080.02,2,4,2
5350072.01,1,2,1
5350072.02,1,3,2
5350159.01,1,3,2
5350159.02,1,2,1
5350225.01,0,1,1
5350225.02,0,2,2
5350260.04,0,1,1
5350260.05,0,1,1
5350247.01,0,1,1
5350247.02,1,2,1
5350248.04,1,4,3
5350248.05,1,2,1
5350281.01,1,4,3
5350281.02,0,2,2
5350301.03,1,3,2
5350301.04,0,2,2
5350263.03,0,3,3
5350263.04,0,2,2
5350305.01,0,1,1
5350306.01,0,1,1
5350306.02,0,2,2
5350312.06,2,3,1
5350312.07,0,3,3
5350316.05,1,3,2
5350316.06,1,2,1
5350321.01,1,4,3
5350321.02,1,4,3
5350324.05,0,3,3
5350324.06,0,3,3
5350331.03,0,3,3
5350331.04,0,3,3
5350351.01,0,3,3
5350351.02,1,2,1
5350353.03,1,4,3
5350353.04,0,2,2
5350355.04,1,2,1
5350363.04,1,3,2
5350363.05,1,2,1
5350376.11,1,2,1
5350376.12,1,4,3
5350376.13,1,3,2
5350376.14,1,4,3
5350378.16,0,2,2
5350378.17,0,3,3
5350311.05,2,3,1
5350311.06,1,4,3
5350378.18,0,3,3
5350378.19,0,3,3
5350378.20,0,3,3
5350378.21,0,2,2
5350378.22,0,3,3
5350194.01,0,1,1
5350194.02,0,2,2
5350194.03,0,2,2
5350194.04,0,3,3
5350317.04,2,5,3
5350317.05,2,3,1
5350341.03,1,3,2
5350341.04,1,3,2
5350250.04,0,3,3
5350250.05,0,2,2
5350269.01,1,3,2
5350269.02,0,2,2
5350344.01,1,4,3
5350344.02,1,2,1
5350011.01,5,6,1
5350011.02,5,6,1
5350011.03,5,8,3
5350044.01,4,7,3
5350044.02,4,5,1
5350300.01,4,5,1
5350300.02,0,3,3
5350300.03,0,1,1
5350318.01,2,4,2
5350318.02,3,5,2
5350305.05,1,2,1
5350305.06,1,3,2
5350377.08,1,4,3
5350377.09,0,1,1
5350308.05,1,2,1
5350308.06,3,5,2
5350308.07,3,6,3
5350210.03,0,1,1
5350210.04,1,4,3
5350062.03,5,8,3
5350062.04,5,8,3
5350017.01,1,3,2
5350017.02,2,4,2
